"Experiment 1+2"			"Experiment 1"	"Experiment 2"	"Experiment 2"	"Experiment 2"	"Experiment 2"	"Experiment 2"						
"#"	"Seed"	"Size"	"Diffs Trainbenchmark-CrossEcore"	"Diffs CrossEcore-EMF"	"Diffs Trainbenchmark-EMF"	"Diffs EMF-CrossEcore2"	"Diffs CrossEcore-CrossEcore2"	"Diffs Trainbenchmark-CrossEcore2"						
		128	1823,5902427	0,7740961	31,3591599999927	1031,02243000013	194415	527513	2,71333487642414	721928	2,52600015888011	0,001072262192352	0,04343807138661	1,4281513253401
"Seed 4"	"537388259l"	1	0,6855994	0,278247999	0,359359999885783	0,24953499995172	1475	3999	2,71118644067797	5474	0,125246510778224	0,050830836499817	0,065648520256811	0,045585495058772
		2	0,675582599	0,032982201	0,432979999808595	0,603464999934658	3557	9646	2,71183581669947	13203	0,051168870635462	0,002498083844581	0,032794061941119	0,045706657572874
		4	2,517866199	0,0429144	0,879835000028834	1,68571499991231	7317	19856	2,71368047013803	27173	0,092660589519008	0,00157930298458	0,032379015935997	0,062036396419693
		8	8,104546099	0,0533375	1,59555500000715	4,86158000002615	13907	37735	2,71338175019774	51642	0,156937107373843	0,001032831803571	0,030896460245675	0,094140041052363
		16	29,8372136	0,0915216	3,57793499995023	16,1257150000893	26318	71438	2,71441598905692	97756	0,305221302017267	0,000936224886452	0,036600669012135	0,164958826057626
		32	125,5144964	0,1777595	8,61077999998815	60,232124999864	52440	142298	2,71353928299008	194738	0,644530068091487	0,000912813626514	0,044217256005444	0,309298262279904
		64	497,7686658	0,3413865	15,629339999985	245,444095000159	99882	271102	2,7142227828838	370984	1,34175238231298	0,000920218931275	0,04212941798025	0,661602912794511
		128	1835,83702299	0,608913099	31,99780500005	1091,763515	198870	539739	2,71402926534922	738609	2,48553297210026	0,000824405198149	0,043321710133576	1,47813459489392
"Seed 5"	"58617367495977272l"	1	0,705576199	0,266823899	0,421545000048354	0,240370000014082	1735	4709	2,71412103746398	6444	0,109493513190565	0,041406564090627	0,06541666667417	0,037301365613607
		2	0,6561428	0,029133	0,458464999916032	0,592484999913722	3571	9690	2,71352562307477	13261	0,049479134303597	0,002196893145313	0,034572430428779	0,044678757251619
		4	2,003312299	0,0427824	0,814904999919236	1,45241999998689	6753	18332	2,7146453428106	25085	0,079860964680088	0,001705497309149	0,032485748452033	0,057899940202786
		8	6,5473211	0,0494321	1,53327000001445	4,12621499993838	12610	34226	2,71419508326725	46836	0,139792490819028	0,001055429584081	0,032736997181964	0,088099218548518
		16	22,0098957	0,0864343	2,94631000002846	12,0203299999703	22856	62036	2,71421071053553	84892	0,259269374028177	0,001018167789662	0,034706568345998	0,141595556706996
